Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
Huawei MateBook D 15,Huawei,65100,60500,4600,Intel,Core i3 1115G4,4,8,DDR4,256GB SSD,15,FHD IPS LED Display,Intel UHD Graphics,,42,0
Acer Aspire 3 A315-59,Acer,62710,58000,4710,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,40,14
Dynabook Satellite Pro C40-G-13F,Dynabook,33420,31000,2420,Intel,Celeron Dual Core 5205U,1,4,DDR4,256GB SSD,14,HD LED,Intel UHD Graphics,2 Cell Lithium Ion,45,10
HP 15s-fq5486TU,HP,61090,56500,4590,Intel,Core i3 1215U,4,4,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,,,1
HP 15s-du3611TU,HP,61090,56500,4590,Intel,Core i3 1125G4,3,4,DDR4,1TB HDD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,41,2
Asus VivoBook 15 X1502ZA,Asus,69120,63900,5220,Intel,Core i3 1215U,4,4,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,42,13
Asus VivoBook 15 X1500EA,Asus,67810,62800,5010,Intel,Core i3 1115G4,4,8,DDR4,1TB HDD,15,Full HD Display,Intel UHD Graphics,2 Cell Li-ion,37,0
HP 15s-eq2618AU,Hp,60000,55500,4500,AMD,Ryzen 3 5300U,3,8,DDR4,512GB SSD,15,,AMD Radeon Graphics,3 Cell Li-Ion,41,11
Acer Extensa 15 EX215-23-R2JD,Acer,59460,55000,4460,AMD,Ryzen 3 7320U,4,8,DDR5,256GB SSD,15,FHD LED Display,AMD Radeon 610M Graphics,3 Cell Li-Ion,40,10
Asus X515EA,Asus,56100,51900,4200,Intel,Core i3 1115G4,4,4,DDR4,1TB HDD,15,FHD,Intel UHD Graphics,2 Cell Li-ion,37,19
Huawei MateBook B3-520,Huawei,64670,0,64670,Intel,Core i3 1115G4,4,8,LPDDR4x,256GB SSD,15,FHD,Intel UHD Graphics,,42,0
Lenovo IdeaPad 1 15ADA7,Lenovo,53930,49900,4030,AMD,Ryzen 3 3250U,3,8,DDR4,512GB SSD,15,FHD,AMD Radeon Graphics,3 Cell Li-Polymer,42,2
Asus D415DA,Asus,54580,50500,4080,AMD,Ryzen 3 3250U,3,4,DDR4,1TB HDD,14,HD LED,AMD Radeon Graphics,2 Cell Li-ion,37,1
Asus M515DA,Asus,54580,50500,4080,AMD,Ryzen 3 3250U,3,4,DDR4,1TB HDD,15,HD LED,AMD Radeon Graphics,2 Cell Li-ion,37,0
HP 15s-eq1578AU,HP,52840,48900,3940,AMD,Athlon Silver 3050U,3,8,DDR4,256GB SSD,15,FHD LED Display,AMD Radeon Graphics,,,14
Dynabook Satellite Pro C40-G-11I,Dynabook,48720,45000,3720,Intel,Core i3 10110U,4,8,DDR4,256GB SSD,14,HD LED,Intel UHD Graphics,,45,3
HP 15s-fq3617TU,HP,46980,43500,3480,Intel,Intel CDC N4500,1,4,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,,,10
Asus ExpertBook B1 B1400CEAE,Asus,69220,64000,5220,Intel,Core i3 1115G4,4,4,DDR4,256GB SSD,14,FHD,Intel UHD Graphics,3 Cell Li-ion,42,10
Asus ExpertBook P1412CEA,Asus,61850,57000,4850,Intel,Core i3 1115G4,4,4,DDR4,1TB HDD,14,FHD,Intel UHD Graphics,2 Cell Li-ion,37,1
Lenovo IdeaPad Slim 3i 15ITL6,Lenovo,95260,88000,7260,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,,45,11
Acer TravelMate P214-53-72WA,Acer,93850,86900,6950,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,14,FHD IPS LED Display,Intel Iris Xe Graphics,3 Cell Lithium Ion (Li-Ion),48,0
Lenovo IdeaPad Slim 3 15ABR8,Lenovo,95260,88000,7260,AMD,Ryzen 7 7730U,4,8,DDR4,512GB SSD,15,FHD LED Display,AMD Radeon Graphics,,47,11
Dell Inspiron 15 3525,Dell,96020,88700,7320,AMD,Ryzen 7 5825U,4,8,DDR4,512GB SSD,15,FHD,AMD Radeon Graphics,,41,0
Lenovo IdeaPad 3 15ALC6,Lenovo,86480,79900,6580,AMD,Ryzen 7 5700U,4,8,DDR4,512GB SSD,15,FHD IPS LED Display,AMD Radeon Graphics,,38,1
Dell Inspiron 15 3515,Dell,55660,51500,4160,AMD,Ryzen 3 3250U,3,8,DDR4,256GB SSD,15,FHD,AMD Radeon Graphics,3 Cell Lithium Polymer,41,2
Lenovo ThinkBook 14 G2 ITL,Lenovo,90270,83500,6770,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,14,FHD,Intel Iris Xe Graphics,4 Cell Li-Polymer,45,1
Dell Latitude 15-3520,Dell,79530,73500,6030,Intel,Core i5 1135G7,4,8,DDR4,256GB SSD,15,HD LED,Intel Iris Xe Graphics,,41,11
Asus ExpertBook B1 B1500CEAE,Asus,74650,69000,5650,Intel,Core i3 1115G4,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,42,11
Asus ROG Zephyrus G15 GA503RM,Asus,239790,0,239790,AMD,Ryzen 7 6800HS,4,16,DDR5,1TB SSD,15,2K WQHD LED,Nvidia RTX 3060 Graphics,4 Cell Li-ion,90,1
Microsoft Surface Laptop 5,Microsoft,214290,198000,16290,Intel,Core i7 1265U,4,16,LPDDR5x,512GB SSD,13,PixelSense MultiTouch Display,Intel Iris Xe Graphics,,45,9
Microsoft Surface Laptop 4,Microsoft,169260,157000,12260,Intel,Core i7 1185G7,4,16,LPDDR4x,256GB SSD,15,PixelSense MultiTouch Display,Intel Iris Xe Graphics,,45,1
Gigabyte Gaming G5 KE,Gigabyte,157870,146000,11870,Intel,Core i5 12500H,4,8,DDR4,512GB SSD,15,FHD,Nvidia RTX 3060 Max-Q Graphics,,54,0
Lenovo IdeaPad Gaming 3i 15IHU,Lenovo,142680,132000,10680,Intel,Core i7 11370H,4,16,DDR4,1TB HDD+256GB SSD,15,FHD IPS LED Display,Nvidia GTX 1650 Graphics,3 Cell Li-Polymer,45,1
Asus VivoBook Pro 15 K3500PA,Asus,122610,113500,9110,Intel,Core i7 11370H,4,8,DDR4,512GB SSD,15,FHD,Intel Iris Xe Graphics,3 Cell Li-ion,63,1
Lenovo IdeaPad Slim 3i 15ITL,Lenovo,55340,51400,3940,Intel,Core i3 1115G4,4,4,DDR4,256GB SSD,15,FHD,Intel UHD Graphics,3 Cell Li-Polymer,38,0
Dell Inspiron 15 3520,Dell,107420,99500,7920,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,15,FHD LED Display,Nvidia MX550 Graphics,3 Cell Li-ion,41,9
HP ProBook 450 G8,HP,75190,69500,5690,Intel,Core i3 1115G4,4,8,DDR4,256GB SSD,15,HD LED,Intel UHD Graphics,3 Cell Lithium-Ion Polymer (LiPo),45,12
HP 15s-du4026TU,HP,117180,108500,8680,Intel,Core i7 1255U,4,8,DDR4,1TB HDD+256GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,41,10
Lenovo IdeaPad 3 14ALC6,Lenovo,86480,79900,6580,AMD,Ryzen 7 5700U,4,8,DDR4,512GB SSD,14,FHD IPS LED Display,AMD Radeon Graphics,,38,1
Asus VivoBook 15 K513EQ,Asus,107630,99500,8130,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,15,FHD OLED Display,Nvidia MX350 Graphics,3 Cell Li-ion,42,1
Dell Inspiron 15 3511,Dell,105030,97000,8030,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,15,FHD,Nvidia MX350 Graphics,,41,0
Lenovo IdeaPad 1 15AMN7,Lenovo,57290,53000,4290,AMD,Ryzen 3 7320U,4,8,LPDDR5,512GB SSD,15,FHD LED Display,AMD Radeon 610M Graphics,,42,10
Microsoft Surface Laptop Studio,Microsoft,246840,228000,18840,Intel,Core i7 11370H,4,16,LPDDR4x,512GB SSD,14,PixelSense Flow MultiTouch Display,Nvidia RTX 3050 Ti Graphics,,58,1
Acer Aspire 3 A315-24P,Acer,55550,51400,4150,AMD,Ryzen 3 7320U,4,8,DDR5,512GB SSD,15,FHD LED Display,AMD Radeon 610M Graphics,3 Cell Li-Ion,40,13
Acer Extensa 15 EX215-54-34SE,Acer,50240,46500,3740,Intel,Core i3 1115G4,4,8,DDR4,1TB HDD,15,FHD LED Display,Intel UHD Graphics,2 Cell Lithium Ion (Li-Ion),36,22
Asus X515MA,Asus,43730,40500,3230,Intel,CDC N4020,1,4,DDR4,1TB HDD,15,FHD,Intel UHD Graphics 600,2 Cell Li-ion,37,1
Acer One 14 Z2-493,Acer,46220,42800,3420,AMD,Ryzen 3 3250U,3,4,DDR4,1TB HDD,14,HD LED,AMD Radeon Graphics,3 Cell Li-Ion Li-ion,36,1
Lenovo IdeaPad Slim 3i 15IGL,Lenovo,38520,36000,2520,Intel,CDC N4020,2,4,DDR4,1TB HDD,15,HD LED,Intel UHD Graphics 600,,35,1
Lenovo IdeaPad D330 10IGL,Lenovo,38630,35800,2830,Intel,CDC N4020,2,4,DDR4,128GB eMMC,10,HD IPS LED Display,Intel UHD Graphics 600,3 Cell Li-Polymer,39,4
Dell Vostro 14 3400,Dell,51760,47900,3860,Intel,Core i3 1115G4,4,8,DDR4,1TB HDD,14,HD LED,Intel UHD Graphics,,42,11
Lenovo V15 Gen 3,Lenovo,64020,59500,4520,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel UHD Graphics,,,5
Acer Aspire 3 A315-510P,Acer,63690,58900,4790,Intel,Core i3 N305,3,8,LPDDR5,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-Ion,40,13
MSI Modern 14 C12MO,MSI,62930,58500,4430,Intel,Core i3 1215U,4,16,DDR4,512GB SSD,14,FHD LED Display,Intel UHD Graphics,,39,0
HP 250 G8,Hp,63260,58500,4760,Intel,Core i3 1115G4,4,8,DDR4,1TB HDD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,41,9
HP 15s-du3560TU,HP,63690,58900,4790,Intel,Core i3 1125G4,3,8,DDR4,1TB HDD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,41,2
Acer Aspire 3 A315-59-34TO,Acer,62710,58000,4710,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD,Intel UHD Graphics,3 Cell Li-Ion,40,9
Acer Aspire 3 A315-59-390P,Acer,62710,58000,4710,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-Ion,40,9
HP 240 G8,HP,63800,59000,4800,Intel,Core i3 1115G4,4,8,DDR4,1TB HDD,14,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,41,3
Acer Aspire 3 A315-59-39P4,Acer,62710,58000,4710,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD,Intel UHD Graphics,3 Cell Li-Ion,40,11
Asus ExpertBook P2451FA,Asus,61630,57000,4630,Intel,Core i3 10110U,4,4,DDR4,1TB HDD,14,FHD,Intel UHD Graphics,3 Cell Li-ion,48,1
Lenovo IdeaPad Slim 3i 14IAU7,Lenovo,61090,56500,4590,Intel,Core i3 1215U,4,8,DDR4,256GB SSD,14,FHD LED Display,Intel UHD Graphics,,45,8
MSI Modern 14 C11M,MSI,59460,55000,4460,Intel,Core i3 1115G4,4,8,DDR4,512GB SSD,14,FHD LED Display,Intel UHD Graphics,,39,11
Dynabook Satellite Pro C40-G-109,Dynabook,32010,29600,2410,Intel,Celeron Dual Core 5205U,1,4,DDR4,128GB SSD,14,HD LED,Intel UHD Graphics,2 Cell Lithium Ion,45,4
Asus ExpertBook P1 P1512CEA,Asus,61630,57000,4630,Intel,Core i3 1115G4,4,4,DDR4,1TB HDD,15,FHD,Intel UHD Graphics,2 Cell Li-ion,37,11
Lenovo IdeaPad Slim 3i 14ITL6,Lenovo,103400,95500,7900,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,14,FHD Antiglare LED,Intel Iris Xe Graphics,,45,1
Apple MacBook Pro (Late 2021),Apple,518630,0,518630,Apple,Apple M1 Max Chip,,64,Unmentioned,4TB SSD,16,Liquid Retina XDR Display,Apple 32-Core GPU,,100,4
Acer TravelMate P214-53G,Acer,99280,92000,7280,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,14,FHD IPS LED Display,Nvidia MX330 Graphics,,48,0
HP Pavilion 15-eg2109TU,HP,98520,91000,7520,Intel,Core i5 1240P,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,41,10
Asus VivoBook 15 K513EA,Asus,73020,67500,5520,Intel,Core i3 1115G4,4,4,DDR4,512GB SSD,15,FHD OLED Display,Intel UHD Graphics,3 Cell Li-ion,42,0
HP 15s-fq5786TU,HP,69980,64700,5280,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,41,11
MSI Modern 15 A11MU,MSI,96890,89500,7390,Intel,Core i7 1195G7,5,8,DDR4,512GB SSD,15,FHD IPS LED Display,Intel Iris Xe Graphics,3 Cell Li Polymer,53,9
ASUS Vivobook 15 X1504VA,Asus,76600,70800,5800,Intel,Core i3 1315U,4,8,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-Ion,42,12
Lenovo IdeaPad Slim 3i 14IRU8,Lenovo,76280,70500,5780,Intel,Core i3 1305U,4,8,DDR5,512GB SSD,14,FHD LED Display,Intel UHD Graphics,,47,9
Asus VivoBook S15 S513EA,Asus,75410,69800,5610,Intel,Core i3 1115G4,4,8,DDR4,512GB SSD,15,FHD OLED Display,Intel UHD Graphics,3 Cell Li-ion,42,2
HP 15s-fq4786TU,Hp,77040,71300,5740,Intel,Core i5 1155G7,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-Ion,41,10
Dell Latitude 14-3420,Dell,86260,80000,6260,Intel,Core i5 1145G7,4,8,DDR4,512GB SSD,14,HD LED,Intel Iris Xe Graphics,,41,9
Asus VivoBook 15 M1502IA,Asus,76820,71000,5820,AMD,Ryzen 5 4600H,4,8,DDR4,512GB SSD,15,FHD LED Display,AMD Radeon Graphics,3 Cell Li-ion,42,0
HP 14s-dq5110TU,HP,84410,78000,6410,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,14,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,41,12
Huawei MateBook B3-420,Huawei,82240,76000,6240,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,14,FHD IPS LED Display,Intel Iris Xe Graphics,,56,0
Acer Aspire 3 A315-59-50J9,Acer,80070,74000,6070,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,15,FHD,Intel Iris Xe Graphics,3 Cell Li-ion,40,10
Asus VivoBook 15 M1505YA,Asus,96350,89000,7350,AMD,Ryzen 5 7530U,4,8,DDR4,512GB SSD,15,FHD OLED Display,AMD Radeon Graphics,3 Cell Li-ion,50,12
Asus ExpertBook B3 Flip B3402FEA,Asus,95810,88500,7310,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,14,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,50,13
Acer Aspire 7 A715-42G-R2NE,Acer,93090,86000,7090,AMD,Ryzen 5 5500U,4,8,DDR4,512GB SSD,15,FHD IPS LED Display,Nvidia GTX 1650 Graphics,3 Cell Lithium Ion (Li-Ion),48,2
Asus VivoBook 15 OLED X1505ZA,Asus,81160,75000,6160,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD OLED Display,Intel UHD Graphics,3 Cell Li-Ion,50,9
,,95810,88500,7310,,,,,,,,,,,,13
Dell Vostro 15 3510,Dell,90920,84000,6920,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,15,FHD LED Display,Nvidia MX330 Graphics,,41,0
HP 15s-eq2335AU,HP,90820,83900,6920,AMD,Ryzen 7 5700U,4,8,DDR4,512GB SSD,15,FHD LED Display,AMD Radeon Graphics,3 Cell Li-ion,41,1
Asus VivoBook 15X OLED X1503ZA,Asus,106110,98000,8110,Intel,Core i5 12500H,4,8,DDR4,512GB SSD,15,FHD OLED Display,Intel Iris Xe Graphics,3 Cell Li-ion,70,10
Asus VivoBook Flip 14 TM420UA,Asus,104700,97000,7700,AMD,Ryzen 7 5700U,4,8,DDR4,512GB SSD,14,FHD LED Display,AMD Radeon Graphics,3 Cell Li-ion,42,12
Asus VivoBook 15X K3504ZA,Asus,96020,89000,7020,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-Ion,42,10
Acer Aspire 5 A515-57G,Acer,103400,95500,7900,Intel,Core i5 1240P,4,8,DDR4,512GB SSD,15,FHD LED Display,Nvidia RTX 2050 Graphics,3 Cell Li-Ion,50,1
Asus ZenBook 14 UM425UA,Asus,101230,93500,7730,AMD,Ryzen 5 5500U,4,8,LPDDR4x,512GB SSD,14,FHD,AMD Radeon Graphics,4 Cell Li-ion,67,1
Acer Aspire 5 5M-A515-58GM,Acer,101770,94000,7770,Intel,Core i5 1335U,4,8,DDR4,512GB SSD,15,FHD,Nvidia RTX 2050 Graphics,3 Cell Li-ion,50,10
Lenovo IdeaPad FLEX 5 14ALC7,Lenovo,98740,91500,7240,AMD,Ryzen 5 5500U,4,16,LPDDR4x,512GB SSD,14,2K WUXGA LED Display,AMD Radeon Graphics,,52,9
MSI Modern 15 B13M,MSI,99060,91500,7560,Intel,Core i5 1335U,4,16,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,,39,19
Lenovo ThinkBook 15 G2 ITL,Lenovo,98300,90900,7400,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,15,FHD,Intel Iris Xe Graphics,,45,0
Asus ExpertBook B5 B5302CEA,Asus,103080,95000,8080,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,13,FHD LED Display,Intel Iris Xe Graphics,4 Cell Li Polymer,66,10
Lenovo IdeaPad Slim 3i 15IAU7,Lenovo,89840,83000,6840,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,,45,10
MSI Modern 15 B12M,MSI,100690,93000,7690,Intel,Core i7 1255U,4,16,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,,39,11
Microsoft Surface Go 3 (Wi-Fi),Microsoft,100690,93000,7690,Intel,Pentium Gold 6500Y,3,8,LPDDR3,128GB SSD,10,PixelSense MultiTouch Display,Intel UHD Graphics 615,,26,1
Asus ExpertBook B1 B1400CBA,Asus,98520,91000,7520,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,14,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,42,11
Asus ExpertBook B5 Flip B5402CEA,Asus,122390,113000,9390,Intel,Core i5 1155G7,4,8,DDR4,512GB SSD,14,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,63,10
HP Pavilion 15-eg2116TU,Hp,98520,91000,7520,Intel,Core i5 1240P,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-Ion,41,14
HP Pavilion 15-eg2117TU,Hp,120980,112000,8980,Intel,Core i7 1260P,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-Ion,41,10
Acer Aspire 7 A715-76G-57W7,Acer,119130,110000,9130,Intel,Core i5 12450H,4,8,DDR4,512GB SSD,15,FHD LED Display,Nvidia RTX 3050 Graphics,3 Cell Li-Ion,50,10
Apple MacBook Air (Late 2020),Apple,115010,106000,9010,Apple,Apple M1 Chip,,8,Unmentioned,256GB SSD,13,Retina,Apple 7-core GPU,,49,3
Microsoft Surface Go 3,Microsoft,112840,105000,7840,Intel,Core i3 10100Y,3,8,Unmentioned,128GB SSD,10,PixelSense MultiTouch Display,Intel UHD Graphics 615,,,11
Dell Inspiron 15-7591,Dell,88970,82000,6970,Intel,Core i7 9750H,4,8,DDR4,256GB SSD,15,FHD,Nvidia GTX 1050 Graphics,3 Cell lithium-ion,56,2
Apple MacBook Air (2022),Apple,156780,145000,11780,Apple,Apple M2 Chip,,8,Unmentioned,256GB SSD,13,Retina,Apple 8-core GPU,,52,2
Asus VivoBook 16X OLED M1603QA,Asus,116960,108000,8960,AMD,Ryzen 5 5600H,4,8,DDR4,512GB SSD,16,4K WQUXGA OLED Display,AMD Radeon Graphics,3 Cell Li-ion,70,9
Lenovo IdeaPad Gaming 3i 16IAH7,Lenovo,155160,144000,11160,Intel,Core i5 12450H,4,16,DDR4,512GB SSD,16,2K WUXGA LED Display,Nvidia RTX 3050 Graphics,,71,25
Lenovo IdeaPad Gaming 3 15ARH7,Lenovo,150270,139000,11270,AMD,Ryzen 5 7535HS,4,8,DDR5,512GB SSD,15,FHD LED Display,Nvidia RTX GDDR6 Graphics,,60,10
MSI GF63 Thin 11UC,MSI,117180,108500,8680,Intel,Core i5 11400H,4,8,DDR4,512GB SSD,15,FHD IPS,Nvidia RTX 3050 Max-Q Graphics,,51,1
Gigabyte Gaming G5 KF,Gigabyte,149190,138000,11190,Intel,Core i5 12500H,4,8,DDR4,512GB SSD,15,FHD LED Display,Nvidia RTX 4060 Graphics,,54,10
Asus ZenBook 14 Flip OLED UP5401EA,Asus,144310,135000,9310,Intel,Core i5 1135G7,4,8,LPDDR4x,512GB SSD,14,2.8K OLED WQHD,Intel Iris Xe Graphics,3 Cell Li-ion,63,1
